Title,Price,Size,Neighbourhood,City,Date_Posted,Rooms
"Mieszkanie na sprzedaż Ujscie
129 000 zł
do negocjacji",129000.0,57.0,,Ujście,2025-05-07,
"Sprzedam mieszkanie
150 000 zł",150000.0,25.74,,Trzcianka,2025-05-05,
"Mieszkanie 65 mkw bez bik i krd !
150 000 zł",150000.0,65.0,,Śmigiel,2025-05-06,
"Mieszkanie 2-pokojowe na oś. Przemysława II
190 000 zł",190000.0,33.0,,Rogoźno,,2
"Sprzedam mieszkanie
199 000 zł",199000.0,36.0,,Pleszew,,
"Sprzedam mieszkanie TBS
180 000 zł",180000.0,46.62,,Kalisz,2025-05-11,
"Złota 71 | mieszkanie 2-pok. | A.1.4
198 499 zł",198499.0,40.51,,Kalisz,2025-05-11,2
"Piekne przestronne mieszkanie
250 000 zł
do negocjacji",250000.0,52.0,,Janiszewo,2025-05-11,
"Złota 71 | mieszkanie 2-pok. | A.4.3
212 477 zł",212477.0,40.09,,Kalisz,2025-05-11,2
"Mieszkanie w trzylokalowym szeregowcu z zagospodarowanym strychem
170 000 zł",170000.0,43.0,,Wyskoć,2025-05-11,
"Słoneczne mieszkanie 2 pokojowe w Rogoźnie
229 000 zł",229000.0,42.42,,Rogoźno,2025-05-05,2
"Okazja 3-pokojowe mieszkanie w Kamienicy!
199 000 zł",199000.0,54.0,,Szamotuły,2025-05-09,3
"Nowa cena - mieszkanie 2 pok. + piwnica gratis !
213 100 zł",213100.0,42.62,,Krzywiń,2025-05-06,2
"Bezczynszowy Energooszczędny dom z ogrodem z miejscem postojowym!
229 000 zł",229000.0,27.0,,Środa Wielkopolska,2025-05-03,
"Przytulne mieszkanie z kominkiem.
199 900 zł",199900.0,44.97,,Poznań,2025-05-05,
"Nowe bezczynszowe gotowe do sprzedaży -marzec 2026
243 508 zł",243508.0,35.81,,Jarocin,2025-04-24,
"Mieszkanie Kowalskie 55 m2, 2 pokoje, ogród, garaż, piwnica
245 000 zł",245000.0,54.9,,Kowalskie,2025-05-11,2
"Sprzedam kawalerkę
170 000 zł",170000.0,28.5,,Wągrowiec,2025-04-26,
"Mieszkanie w Przygodzicach bezczynszowe
250 000 zł",250000.0,42.2,,Przygodzice,2025-05-07,
"Bolechowo. ul. Dworcowa
157 905 zł",157905.0,35.09,,Bolechowo Osiedle,2025-04-12,
"2 pokojowe mieszkanie na sprzedaż pod Wągrowcem
159 000 zł",159000.0,55.5,,Wągrowiec,2025-05-08,2
"Dwupokojowe mieszkanie Henrykowo!
185 000 zł",185000.0,55.9,,Święciechowa,2025-04-23,
"3-pokojowe mieszkanie 60,17 m² – Nowa Wieś Ujska
209 000 zł",209000.0,60.17,,Nowa Wieś Ujska,2025-05-02,3
"Mieszkanie Nidom bezczynszowe ok 60 M2 Czerniejewo Gniezno Września
225 000 zł",225000.0,60.0,,Czerniejewo,2025-04-23,
"Kawalerka inwestycyjna w super cenie dostępna od zaraz
250 000 zł",250000.0,28.67,,Luboń,2025-04-28,1
"Przytulna kawalerka na Grunwaldzie!
248 000 zł",248000.0,18.0,Grunwald,Poznań,2025-05-09,1
"Sprzedam nowe mieszkanie z tarasem - 3333 zł/m2
225 000 zł",225000.0,67.5,,Konin,2025-05-07,
"Mieszkanie na sprzedaż ! 48 mkw
200 000 zł",200000.0,48.0,,Śmigiel,2025-04-14,
"Sprzedam bezpośrednio 2 pokojowe mieszkanie w centrum Kalisza
215 000 zł",215000.0,28.0,,Kalisz,,2
"39,45 m² szczęścia z garażem i piwnicą
250 000 zł",250000.0,39.45,,Międzychód,2025-05-11,
"Złota 71 | mieszkanie 2-pok. | A.4.4
214 703 zł",214703.0,40.51,,Kalisz,2025-05-11,2
"3 pokoje I do własnej aranżacji I blisko S5 I Srocko Małe
230 000 zł",230000.0,52.0,,Srocko Małe,2025-05-03,3
"Mieszkanie 3 pokojowe w bloku
200 000 zł",200000.0,59.0,,Rokosowo,2025-05-11,3
"Kawalerka do remontu – Poznań, Nowe Miasto
235 000 zł",235000.0,24.0,,Poznań,2025-04-02,1
"Kawalerka z piwnicą/poddaszem i pom.gospodarczymi
219 000 zł",219000.0,29.0,,Mosina,2025-05-08,1
"Bezczynszowe mieszkanie z ogródkiem
210 000 zł",210000.0,57.0,,Drzęczewo Drugie,2025-04-23,
"Umeblowana kawalerka na parterze w centrum Koła
215 000 zł",215000.0,29.3,,Koło,2025-05-11,1
"Konin, Wyszyńskiego - kawalerka na sprzedaż!
175 000 zł",175000.0,27.11,,Konin,2025-04-18,1
"Wygodna kawalerka w centrum Lubonia
242 000 zł",242000.0,26.0,,Luboń,2025-04-29,1
"Mieszkanie - Dom wielorodzinny - Huta Szklana gm. Krzyż Wielkopolski
224 999 zł
do negocjacji",224999.0,97.0,,Huta Szklana,2025-05-11,
"Spszedam Mieszkanie
230 000 zł",230000.0,3330.0,,Koło,,
"Mieszkanie z ogródkiem we Wronkach.
210 000 zł",210000.0,29.81,,Wronki,2025-05-09,
"Lokal mieszkalny z działką do remontu
200 000 zł",200000.0,48.6,,Dachowa,2025-04-28,
